"CAN-QC-39","Québec 4.1 N","8/2/2018","8/1/2018","4/16/2020",574,91,574,,,625,0,,0,"Closed","CAN","Quebec",,77,"CoCoRaHS","9/7/2022"
"CAN-QC-38","Montréal 1.8 S - Jeanne-Mance Garden","6/1/2018","6/3/2018","11/1/2018",151,99,148,1,3,152,0,,0,"Closed","CAN","Quebec",,89,"CoCoRaHS","6/15/2020"
"CAN-QC-37","Laval 3.8 SSW","5/24/2018","5/26/2018","2/10/2025",2439,99,2291,27,148,2453,3,,0,"Reporting","CAN","Quebec",,116,"CoCoRaHS","2/10/2025"
"CAN-QC-36","Laval 2.0 SSE","5/19/2018","5/20/2018","10/12/2018",104,71,104,,,146,1,,0,"Closed","CAN","Quebec",,117,"CoCoRaHS","8/10/2020"
"CAN-QC-35","Huntingdon 0.3 SSE","5/15/2018","6/2/2018","8/19/2021",459,39,420,7,39,1175,0,,0,"Closed","CAN","Quebec",,161,"CoCoRaHS","9/19/2022"
"CAN-QC-34","Saint-Jean-sur-Richelieu 4.8 NNW","5/15/2018","5/15/2018","2/9/2025",2379,96,2354,3,25,2463,0,,0,"Reporting","CAN","Quebec",,128,"CoCoRaHS","2/9/2025"
"CAN-QC-33","Guigues 3.0 N","5/15/2018","5/25/2018","3/15/2019",291,98,282,2,9,295,8,,0,"Closed","CAN","Quebec",,729,"CoCoRaHS","3/27/2019"
"CAN-QC-32","Saint-Isidore 4.7 SW","5/3/2018","5/17/2018","6/14/2020",324,42,314,2,10,760,0,,0,"Closed","CAN","Quebec",,483,"CoCoRaHS","9/6/2022"
"CAN-QC-31","Boischatel 3.2 NNW","4/17/2018","5/24/2018","4/8/2021",447,42,378,14,69,1051,0,,0,"Closed","CAN","Quebec",,574,"CoCoRaHS","9/19/2022"
"CAN-QC-30","Mont-Royal 1.6 NNE","4/12/2018","5/3/2018","10/18/2018",151,89,102,2,49,169,0,,0,"Closed","CAN","Quebec",,588,"CoCoRaHS","8/10/2020"
"CAN-QC-29","Westmount 2.3 SW","3/31/2018",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,209,"CoCoRaHS","6/11/2020"
"CAN-QC-28","Coteau-du-Lac 0.5 SW","2/16/2018","3/18/2018","2/10/2025",2483,98,2471,4,12,2522,0,,0,"Reporting","CAN","Quebec",,156,"CoCoRaHS","2/10/2025"
"CAN-QC-27","La Sarre 0.9 NNW","1/23/2018",,,0,,,,,,0,,0,"Closed","CAN","Quebec",,907,"CoCoRaHS","10/10/2019"
"CAN-QC-26","Buckingham 1.7 NNE","12/31/2017","12/31/2017","2/27/2019",274,64,274,,,424,0,,0,"Closed","CAN","Quebec",,455,"CoCoRaHS","7/26/2022"
